_id,tags
1,"[""change"",""deep-thoughts"",""thinking"",""world""]"
2,"[""abilities"",""choices""]"
3,"[""inspirational"",""life"",""live"",""miracle"",""miracles""]"
4,"[""aliteracy"",""books"",""classic"",""humor""]"
5,"[""be-yourself"",""inspirational""]"
6,"[""adulthood"",""success"",""value""]"
7,"[""life"",""love""]"
8,"[""edison"",""failure"",""inspirational"",""paraphrased""]"
9,"[""misattributed-eleanor-roosevelt""]"
10,"[""humor"",""obvious"",""simile""]"
11,"[""friends"",""heartbreak"",""inspirational"",""life"",""love"",""sisters""]"
12,"[""courage"",""friends""]"
13,"[""simplicity"",""understand""]"
14,"[""love""]"
15,"[""fantasy""]"
16,"[""life"",""navigation""]"
17,"[""activism"",""apathy"",""hate"",""indifference"",""inspirational"",""love"",""opposite"",""philosophy""]"
18,"[""friendship"",""lack-of-friendship"",""lack-of-love"",""love"",""marriage"",""unhappy-marriage""]"
19,"[""books"",""contentment"",""friends"",""friendship"",""life""]"
20,"[""fate"",""life"",""misattributed-john-lennon"",""planning"",""plans""]"
21,"[""love"",""poetry""]"
22,"[""happiness""]"
23,"[""attributed-no-source""]"
24,"[""humor"",""religion""]"
25,"[""humor""]"
26,"[""comedy"",""life"",""yourself""]"
27,"[""children"",""fairy-tales""]"
28,[]
29,"[""imagination""]"
30,"[""music""]"
31,"[""learning"",""reading"",""seuss""]"
32,"[""dumbledore""]"
33,"[""friendship""]"
34,"[""misattributed-to-mother-teresa"",""paraphrased""]"
35,"[""death"",""inspirational""]"
36,"[""chocolate"",""food"",""humor""]"
37,"[""misattributed-to-c-s-lewis"",""reading""]"
38,"[""knowledge"",""learning"",""understanding"",""wisdom""]"
39,"[""books"",""library""]"
40,"[""inspirational""]"
41,"[""read"",""readers"",""reading"",""reading-books""]"
42,"[""books"",""inspirational"",""reading"",""tea""]"
43,[]
44,"[""girls"",""love""]"
45,"[""life"",""simile""]"
46,"[""love""]"
47,"[""attributed-no-source""]"
48,"[""hope"",""inspirational""]"
49,"[""dumbledore""]"
50,"[""love""]"
51,"[""friendship"",""love""]"
52,"[""attributed"",""fear"",""inspiration""]"
53,"[""attributed-no-source""]"
54,"[""music""]"
55,"[""books"",""thought""]"
56,"[""misattributed-to-einstein""]"
57,"[""drug"",""romance"",""simile""]"
58,"[""books"",""friends"",""novelist-quotes""]"
59,"[""inspirational""]"
60,"[""inspirational"",""life"",""yourself""]"
61,"[""alcohol""]"
62,"[""the-hunger-games""]"
63,"[""humor""]"
64,"[""love""]"
65,"[""bilbo"",""journey"",""lost"",""quest"",""travel"",""wander""]"
66,"[""live-death-love""]"
67,"[""good"",""writing""]"
68,"[""life"",""regrets""]"
69,"[""education""]"
70,"[""troubles""]"
71,"[""friendship"",""love""]"
72,"[""humor""]"
73,"[""humor"",""open-mind"",""thinking""]"
74,"[""humor"",""philosophy""]"
75,"[""authors"",""books"",""literature"",""reading"",""writing""]"
76,"[""humor"",""insanity"",""lies"",""lying"",""self-indulgence"",""truth""]"
77,"[""beatles"",""connection"",""dreamers"",""dreaming"",""dreams"",""hope"",""inspirational"",""peace""]"
78,"[""humor"",""sinister""]"
79,[]
80,"[""books"",""classic"",""reading""]"
81,"[""mistakes""]"
82,"[""humor"",""love"",""romantic"",""women""]"
83,"[""integrity""]"
84,"[""books"",""library"",""reading""]"
85,"[""elizabeth-bennet"",""jane-austen""]"
86,"[""age"",""fairytales"",""growing-up""]"
87,"[""god""]"
88,"[""death"",""life""]"
89,"[""misattributed-mark-twain"",""truth""]"
90,"[""christianity"",""faith"",""religion"",""sun""]"
91,"[""truth""]"
92,"[""death"",""life""]"
93,"[""adventure"",""love""]"
94,"[""courage""]"
95,"[""life""]"
96,"[""better-life-empathy""]"
97,"[""books"",""children"",""difficult"",""grown-ups"",""write"",""writers"",""writing""]"
98,"[""truth""]"
99,"[""inspirational""]"
100,"[""books"",""mind""]"